SIGNIFICANT_POINT_ID,CODE_FIR,CODE_IN_AIRWAY,CODE_ID,CODE_CHANNEL,TXT_NAME,CODE_TYPE,GEO_LAT_ACCURACY,GEO_LONG_ACCURACY,VAL_FREQ,UOM_FREQ,VAL_MAG_VAR,VAL_ELEV,UOM_DIST_VER,TXT_RMK,IS_REP_ATC,IS_PBN,PURPOSE,ROUTE_RESTRICT,IS_TRANS_POINT,IS_BORDER_POINT,SERVICED_AIRPORT,IS_MODIFIED,
61d9b058-8b88-4edd-a3d7-0e794cf0675e,上海情报区,Y,YCH,CH100X,盐城,VOR/DME,N332523,E1201215,115.3,MHz,-6.37,13,M,,Y,N,AE,N,N,N,ZSYN,N,
48084473-56ea-45b7-b870-f533418f3c0c,昆明情报区,Y,LGH,CH122X,泸沽湖,VOR/DME,N273222,E1004549,117.5,MHz,-1.18,3306,M,DME：270°径向线顺时针方向至275°径向线之间、286°径向线QNH5400M以下距台21NM以外、286°径向线距台30NM以外不可用。,Y,N,AE,N,N,N,ZPNL,N,
0b7c6adb-ff8a-4f89-93b9-a3ee9bcb6b9f,广州情报区,Y,CON,CH77X,从化,VOR/DME,N233523,E1133515,113.0,MHz,-3.05,77,M,,Y,N,AE,N,N,N,ZGGG,N,
e64431da-c08e-4937-b725-0950cf337809,武汉情报区,Y,ZHO,CH102X,周口,VOR/DME,N333951,E1143912,115.5,MHz,-5.58,115,M,,Y,N,AE,N,N,N,ZHCC,N,
bb4d3709-4cbd-49f7-8c1c-c7f88698f67b,上海情报区,Y,DPX,CH71X,邳县,VOR/DME,N341638,E1175957,112.4,MHz,-6.14,,,,Y,N,E,N,N,N,,N,
6fe49784-74c6-4688-af66-13148d166940,广州情报区,N,DTM,CH87Y,跳马,VOR/DME,N275905,E1130735,114.05,MHz,-3.68,186,M,,Y,N,AE,N,N,N,ZGHA,N,
262baf46-3a2f-4f6c-ae92-823121d1b915,广州情报区,Y,DHZ,CH90X,惠州,VOR/DME,N230249,E1143326,114.3,MHz,-3.18,48,M,,Y,N,AE,N,N,N,ZGHZ,N,
2703bab9-84a6-4ed3-9360-c6b85c110863,兰州情报区,Y,WJC,CH100X,洛川,VOR/DME,N354646,E1092239,115.3,MHz,-3.9,1117,M,,Y,N,E,N,N,N,,N,
e0e9f837-1884-4288-aa9f-1e1b4bd3aa29,乌鲁木齐情报区,Y,QTV,CH58X,奇台,VOR/DME,N435911,E0893633,112.1,MHz,2.45,,,,Y,N,E,N,N,N,,N,
c8fe5805-de2c-46b3-bd4f-21b69be60508,上海情报区,Y,SJD,CH78X,扬州,VOR/DME,N323239,E1194330,113.1,MHz,-6.08,13,M,,Y,N,AE,N,N,N,ZSYA,N,
